threshold,img_only_accuracy,cosine_only_accuracy,hybrid_accuracy,img_only_MATCH,img_only_UNCERTAIN,img_only_DIFFERENT,cosine_only_MATCH,cosine_only_UNCERTAIN,cosine_only_DIFFERENT,hybrid_MATCH,hybrid_UNCERTAIN,hybrid_DIFFERENT,total
0.5,1.0000,0.7500,1.0000,6,0,6,9,3,0,6,0,6,12
0.55,1.0000,1.0000,1.0000,6,0,6,6,6,0,6,0,6,12
0.6,1.0000,1.0000,1.0000,6,0,6,6,6,0,6,0,6,12
0.65,1.0000,1.0000,1.0000,6,0,6,6,3,3,6,0,6,12
0.7,1.0000,1.0000,1.0000,6,0,6,6,0,6,6,0,6,12
0.75,1.0000,1.0000,1.0000,6,0,6,6,0,6,6,0,6,12
0.79,1.0000,1.0000,1.0000,6,0,6,6,0,6,6,0,6,12
0.8,1.0000,1.0000,1.0000,6,0,6,6,0,6,6,0,6,12
0.85,1.0000,1.0000,1.0000,6,0,6,6,0,6,6,0,6,12
0.9,1.0000,1.0000,1.0000,6,0,6,6,0,6,6,0,6,12
0.95,1.0000,1.0000,1.0000,6,0,6,6,0,6,6,0,6,12
